Building Code,Room Name,Room URL
53,53D,http://apps.uclan.ac.uk/MvCRoomTimetable/53/53D
AB,AB012,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/AB012
AB,AB025,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/AB025
AB,AB026,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/AB026
AB,AB104,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/AB104
AB,AB106,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/AB106
AB,AB114,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/AB114
AB,AB128,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/AB128
AB,AB212,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/AB212
AB,AB226,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/AB226
AB,AB235,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/AB235
AB,AB236,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/AB236
AB,ABFOY,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/ABFOY
AB,ABLT1,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/ABLT1
AB,ABLT2,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/ABLT2
AB,ABLT3,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/ABLT3
AB,ABLT4,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/ABLT4
AB,ABLT5,http://apps.uclan.ac.uk/MvCRoomTimetable/AB/ABLT5
AL,AL001,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL001
AL,AL004,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL004
AL,AL010,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL010
AL,AL012,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL012
AL,AL013,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL013
AL,AL104,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL104
AL,AL108,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL108
AL,AL110,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL110
AL,AL201,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL201
AL,AL203,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL203
AL,AL205,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL205
AL,AL207,http://apps.uclan.ac.uk/MvCRoomTimetable/AL/AL207
BB,BB007,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB007
BB,BB008,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB008
BB,BB009,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB009
BB,BB013,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB013
BB,BB015,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB015
BB,BB016,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB016
BB,BB018,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB018
BB,BB019,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB019
BB,BB029,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB029
BB,BB032,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB032
BB,BB034,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB034
BB,BB105,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB105
BB,BB107,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB107
BB,BB111,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB111
BB,BB115,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB115
BB,BB137,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB137
BB,BB138,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB138
BB,BB139,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB139
BB,BB140,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB140
BB,BB142,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB142
BB,BB213,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB213
BB,BB240,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB240
BB,BB245,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB245
BB,BB245a,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB245a
BB,BB312,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB312
BB,BB353,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB353
BB,BB355,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB355
BB,BB355a,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB355a
BB,BB438,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB438
BB,BB447,http://apps.uclan.ac.uk/MvCRoomTimetable/BB/BB447
CM,CM006,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM006
CM,CM011,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM011
CM,CM016,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM016
CM,CM017,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM017
CM,CM018,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM018
CM,CM019,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM019
CM,CM025,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM025
CM,CM026,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM026
CM,CM033,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM033
CM,CM034,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM034
CM,CM101,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM101
CM,CM117,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM117
CM,CM119,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM119
CM,CM120,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM120
CM,CM125,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM125
CM,CM129,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM129
CM,CM130,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM130
CM,CM142,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM142
CM,CM143,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM143
CM,CM144,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM144
CM,CM148,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM148
CM,CM210,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM210
CM,CM234,http://apps.uclan.ac.uk/MvCRoomTimetable/CM/CM234
DB,DB017,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB017
DB,DB017b,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB017b
DB,DB018,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB018
DB,DB026,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB026
DB,DB028,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB028
DB,DB131,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB131
DB,DB234,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB234
DB,DB236,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB236
DB,DB237,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB237
DB,DB238,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB238
DB,DB239,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB239
DB,DB240,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB240
DB,DB241,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB241
DB,DB242,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB242
DB,DB243,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB243
DB,DB244,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB244
DB,DB245,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB245
DB,DB246,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB246
DB,DB247,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB247
DB,DB252,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB252
DB,DB254,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB254
DB,DB325,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DB325
DB,DBFOY,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DBFOY
DB,DBLT,http://apps.uclan.ac.uk/MvCRoomTimetable/DB/DBLT
EB,EB004,http://apps.uclan.ac.uk/MvCRoomTimetable/EB/EB004
EB,EB004a,http://apps.uclan.ac.uk/MvCRoomTimetable/EB/EB004a
EB,EB008,http://apps.uclan.ac.uk/MvCRoomTimetable/EB/EB008
EIC,EIC001,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC001
EIC,EIC010,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC010
EIC,EIC012,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC012
EIC,EIC013,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC013
EIC,EIC111,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC111
EIC,EIC112,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC112
EIC,EIC113,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC113
EIC,EIC201,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC201
EIC,EIC211,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC211
EIC,EIC216,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC216
EIC,EIC217,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC217
EIC,EIC301,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC301
EIC,EIC313,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC313
EIC,EIC315,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC315
EIC,EIC317,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC317
EIC,EIC401,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC401
EIC,EIC402,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC402
EIC,EIC405,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EIC405
EIC,EICLG07,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EICLG07
EIC,EICLG14,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EICLG14
EIC,EICLG19,http://apps.uclan.ac.uk/MvCRoomTimetable/EIC/EICLG19
FB,FB068,http://apps.uclan.ac.uk/MvCRoomTimetable/FB/FB068
FB,FBB17,http://apps.uclan.ac.uk/MvCRoomTimetable/FB/FBB17
FB,FBFOY,http://apps.uclan.ac.uk/MvCRoomTimetable/FB/FBFOY
FB,FBFOY1,http://apps.uclan.ac.uk/MvCRoomTimetable/FB/FBFOY1
FB,FBLT1,http://apps.uclan.ac.uk/MvCRoomTimetable/FB/FBLT1
FB,FBLT2,http://apps.uclan.ac.uk/MvCRoomTimetable/FB/FBLT2
FB,FBLT3,http://apps.uclan.ac.uk/MvCRoomTimetable/FB/FBLT3
FB,FBLT4,http://apps.uclan.ac.uk/MvCRoomTimetable/FB/FBLT4
